profile,shop,item_url,shop_url,price,flag,item_id
耐克男童女童鞋 2017夏新款幼童毛毛虫运动鞋缓震透气跑步鞋343738-306 DF 343738-803 13C/31码/19.5cm,茵特运动户外专营店,https://item.jd.com/12020366866.html,//mall.jd.com/index-662405.html,,,12020366866
耐克女鞋nike Air Max 2017新款黑白奥利奥气垫缓震运动休闲跑步鞋833662 833662-011 38,海客体育运动专营店,https://item.jd.com/12459621246.html,//haikeyd.jd.com,469.00,,12459621246
耐克男鞋2017春新款运动鞋KAISHI 2.0缓震休闲跑步鞋876875-002 QC KAISHI 2.0跑鞋876875-002 42,热点体育旗舰店,https://item.jd.com/1161384486.html,//redian.jd.com,406.00,,1161384486
【新品】耐克Nike 夏经典休闲运动跑步鞋WMNS NIKE DOWNSHIFTER 7 NIKE_852466_001 38.5 /245,,https://item.jd.com/1981723918.html,,499.00,,1981723918
耐克男鞋nike Sock Dart 藤原浩喷墨羊毛袜子跑鞋情侣运动休闲慢跑鞋819686 819686-400 44,海客体育运动专营店,https://item.jd.com/12574714633.html,//haikeyd.jd.com,568.00,,12574714633
耐克女鞋2016春秋款运动轻便耐磨休闲跑步鞋724858-301 724858-301 36.5,考利运动专营店,https://item.jd.com/11249687011.html,//mall.jd.com/index-38630.html,319.00,,11249687011
耐克男鞋 秋冬新款AIR TR. V. CRUZ复刻鞋休闲鞋777535-003 DF 黑色 777535-004 40,风驰运动专营店,https://item.jd.com/11239930621.html,//fengchiyundong.jd.com,749.00,,11239930621
Nike耐克男鞋2017春季新款ROSHE RUN运动休闲轻便跑步鞋511881-029 ROSHE灰色/白色511881-023 42,文石运动专营店,https://item.jd.com/11479134785.html,//wenshiyd.jd.com,479.00,,11479134785
Nike Shox NZ SE 耐克男鞋 气柱缓冲跑步鞋 时尚运动鞋 833579 833579-005 42,SNEAKERHEAD官方旗舰店,https://item.jd.com/11404963015.html,//sneakerhead.jd.com,1030.00,,11404963015
NIKE耐克男鞋 RUN运动鞋休闲透气轻便耐磨训练缓震跑步鞋611511 白色003 7.5=40.5,有球必应高尔夫,https://item.jd.com/10235740240.html,//yqbygolf.jd.com,739.00,,10235740240
Nike Rosherun 耐克女子潮流彩虹跑鞋 705486-400/601 705486-005 6Y/38.5/24cm,久华运动专营店,https://item.jd.com/12299396938.html,//mall.jd.com/index-24422.html,299.00,,12299396938
耐克童鞋Nike2016秋季新款飞线运动鞋登月透气跑步鞋834316-004 834316-004 34-2.5Y,皓洋潮汇运动专营店,https://item.jd.com/10588564225.html,//haoyang.jd.com,502.00,,10588564225
Nike耐克男鞋2017年夏季ROSHE透气运动跑步鞋844833-009 844833-008 40/250/7,锦顺运动专营店,https://item.jd.com/12381810273.html,//xinrui.jd.com,761.00,,12381810273
耐克男鞋 新款JORDAN ECLIPSE运动休闲跑步鞋724010 DF 奥利奥配色724010-010 44,幸运叶子旗舰店,https://item.jd.com/10532593666.html,//xyyz.jd.com,498.00,,10532593666
幸运叶子Nike耐克女鞋 2017夏新款奥利奥缓震轻便运动跑步鞋855810-001 DF 855810-001 耐克女35.5/220,江苏叶子运动专营店,https://item.jd.com/11059530653.html,//xyyzjs.jd.com,649.00,,11059530653
耐克男鞋女鞋2017夏季新款AIR ZOOM气垫飞线透气缓震轻便运动休闲情侣鞋跑步鞋 DF 831356-001 女鞋 38,清鸿叶运动专营店,https://item.jd.com/11189855046.html,//qhyyd.jd.com,689.00,,11189855046
NIKE耐克男鞋2017夏季新款阿甘轻便耐磨慢跑运动休闲鞋876873-101 2017新款876873-101 40.5-7.5,恺琪运动专营店,https://item.jd.com/12536730688.html,//kqsport.jd.com,,,12536730688
幸运叶子耐克女鞋 2017夏季新款FREE 赤足运动跑步鞋831509-600 831509-600 37.5/235,江苏叶子运动专营店,https://item.jd.com/10388122106.html,//xyyzjs.jd.com,,,10388122106
Nike耐克童鞋2017夏新款婴童ROSHE ONE网面透气运动休闲鞋819691 DF 819691-008 8C/25码/140mm,清鸿叶运动专营店,https://item.jd.com/12422408823.html,//qhyyd.jd.com,279.00,,12422408823
耐克NIKE男子休闲鞋AIRMAXMOTIONLW气垫跑步鞋833260-110白色42码,Nike耐克京东自营专区,https://item.jd.com/5095474.html,//mall.jd.com/index-1000001927.html,648.00,JD自营,5095474
NIKE耐克2017年新款男子AIR MAX 90 ULTRA 2.0 ESSENTIAL 875695-002+黑/黑/黑/深灰 42,滔搏运动户外专营店,https://item.jd.com/11552345077.html,//yougousg.jd.com,799.00,,11552345077
NIKE耐克 女子休闲鞋 ROSHE TWO运动鞋 844931-100白色36码,Nike耐克京东自营专区,https://item.jd.com/4095303.html,//mall.jd.com/index-1000001927.html,648.00,JD自营,4095303
耐克NIKE运动鞋 女子AIR MAX气垫缓震防滑运动休闲跑步鞋鞋 833418-101 833418-101 37.5,晓起运动专营店,https://item.jd.com/11045393436.html,//xiaoqiyd.jd.com,399.00,,11045393436
NIKE耐克2017夏季新款女子户外运动透气缓震跑步鞋863780-001 863780-002 36.5,锐速运动专营店,https://item.jd.com/12556038147.html,//kryd.jd.com,979.00,,12556038147
耐克男鞋运动鞋 春夏新款AIR MAX 1 复刻鞋慢跑鞋休闲鞋819476-004 特价529 黑色819476-004 42码/8.5,脉动运动专营店,https://item.jd.com/11084032315.html,//maidong.jd.com,529.00,,11084032315
NIKE/耐克 2017夏款透气男子运动慢跑步鞋飞线登月科技低帮 654433-006 登月6 黑红 44,长沙道勤运动,https://item.jd.com/1760997263.html,//mall.jd.com/index-44915.html,459.00,,1760997263
耐克Flex Experience RN 6女子舒适透气网眼跑步鞋881805-600 881805-600 36,久华运动专营店,https://item.jd.com/11986388301.html,//mall.jd.com/index-24422.html,439.00,,11986388301
Nike Air Max Thea 耐克男鞋女鞋GS 气垫跑步慢跑鞋 运动休闲鞋 814444-007 40,SNEAKERHEAD官方旗舰店,https://item.jd.com/12275686526.html,//sneakerhead.jd.com,723.00,,12275686526
幸运叶子Nike耐克女鞋 2017春新款华莱士休闲运动鞋 859429-003 859429-100/17新款 36.5,江苏叶子运动专营店,https://item.jd.com/10120920318.html,//xyyzjs.jd.com,636.00,,10120920318
耐克Nike男子新款全掌气垫缓震透气运动跑步鞋 683632 C 683632-018 42,爱淘运动专营店,https://item.jd.com/12100580083.html,//aitao.jd.com,469.00,,12100580083
耐克NIKE女鞋2017夏季新款运动休闲透气跑步鞋复刻休闲鞋812655-110-011 白色599432-113 37.5,热点百货商行专营店,https://item.jd.com/10499964404.html,//mall.jd.com/index-107680.html,692.00,,10499964404
NIKE/耐克 AIR MAX 90 男子潮流气垫运动跑步鞋休闲复古高帮透气板鞋 537384-124 白蓝 42.5,长沙道勤运动,https://item.jd.com/11243366811.html,//mall.jd.com/index-44915.html,539.00,,11243366811
【正品包邮】NIKE耐克AIR HUARACHE RUN ULTRA男女运动鞋819151 42.5(275),,https://item.jd.com/1976449763.html,,939.00,,1976449763
Nike耐克2017新款AIR MAX男鞋气垫缓震耐磨跑步鞋 844836-500 40,烽火轮运动专营店,https://item.jd.com/12158471742.html,//fenghuolun.jd.com,,,12158471742
NIKE耐克2017春夏新款男鞋 休闲鞋运动鞋902813-002 902813-002黑+白+深灰 42,SKOMART运动旗舰店,https://item.jd.com/11818360975.html,//mxkadidas.jd.com,,,11818360975
耐克男鞋Free Rn 2017 夏季轻便透气运动鞋赤足跑步鞋 880839-001 黑色880839-001 43,徐氏运动专营店,https://item.jd.com/12005912430.html,//mall.jd.com/index-40691.html,,,12005912430
NIKE耐克 男鞋ROSHERUN休闲鞋运动鞋运动休闲844656-400 844656-004黑+白+煤黑 40,SKOMART运动旗舰店,https://item.jd.com/12034885266.html,//mxkadidas.jd.com,499.00,,12034885266
NIKE耐克男子NIKE ZOOM SPAN跑步鞋852437-004 852437-002+黑 41,滔搏运动户外专营店,https://item.jd.com/10689566747.html,//yougousg.jd.com,559.00,,10689566747
耐克女鞋2017春季新款KAISHI 2.0 SE轻便运动休闲鞋844898 17春新款844898-602 35.5,智凯运动专营店,https://item.jd.com/11264972755.html,//zksports.jd.com,389.00,,11264972755
NIKE耐克女鞋 2017夏季新款Loden休闲缓震运动鞋休闲鞋896298-601 DF 896298-001 38.5,幸运叶子旗舰店,https://item.jd.com/12207200657.html,//xyyz.jd.com,489.00,,12207200657
NIKE耐克男鞋2017夏季新款运动休闲缓震耐磨跑步鞋880843-001 黑色880843-001 39-6.5,热点体育旗舰店,https://item.jd.com/11781075949.html,//redian.jd.com,948.00,,11781075949
幸运叶子耐克男鞋 2017春新款运动鞋休闲透气轻便复刻跑步鞋827921-401 DF 898457-003/17夏季新款 40.5/255,江苏叶子运动专营店,https://item.jd.com/10122173127.html,//xyyzjs.jd.com,499.00,,10122173127
耐克女鞋 AIR RELENTLESS 5运动跑步鞋807098-002 807098-002 37.5,久华运动专营店,https://item.jd.com/12061505812.html,//mall.jd.com/index-24422.html,,,12061505812
NIKE耐克女鞋2017夏季新款FREE RN赤足飞线运动轻便跑步鞋880840-001 黑色880840-001 37.5-6.5,热点运动户外专营店,https://item.jd.com/11632724595.html,//converserd.jd.com,659.00,,11632724595
耐克2017春夏季新款air max气垫缓震跑步鞋749680-002 2017夏款狼灰852461-005 43,考利运动专营店,https://item.jd.com/11189350281.html,//mall.jd.com/index-38630.html,655.00,,11189350281
KH 耐克男鞋 2017夏新款运动鞋Kaishi网面透气休闲鞋慢跑鞋833411 DF 833411-010 41,幸运叶子旗舰店,https://item.jd.com/10317334670.html,//xyyz.jd.com,429.00,,10317334670
耐克男鞋2017春新款FREE FLYKNIT赤足飞线运动跑步鞋834584-001 DF 834584-001 40,幸运叶子旗舰店,https://item.jd.com/11267216382.html,//xyyz.jd.com,869.00,,11267216382
幸运叶子耐克女鞋 2017春新款AIR ZooM透气运动鞋跑步鞋843882-001 DF 843883-010/17夏季新款 37.5/235,江苏叶子运动专营店,https://item.jd.com/10485191066.html,//xyyzjs.jd.com,429.00,,10485191066
Nike耐克女鞋 2017新款AIR MAX气垫低帮透气运动跑步鞋719916-006 719916-006 38.5,久华运动专营店,https://item.jd.com/11968648160.html,//mall.jd.com/index-24422.html,489.00,,11968648160
耐克/NIKE ROSHE TWO 黑白 男子休闲运动 跑步鞋 金属银844656-100 44,威乐运动专营店,https://item.jd.com/12208345647.html,//boles.jd.com,499.00,,12208345647
NIKE耐克 AIR MAX 男子专业跑步鞋 全掌气垫806771 411 宝蓝/白/粉蓝 42.5,宜动旗舰店,https://item.jd.com/11100832505.html,//ydsport.jd.com,1099.00,,11100832505
NIKE耐克男鞋春夏新款跑鞋魂针运动鞋Air Max全掌气垫飞线跑步鞋806771-100 806771-100 40,煜茂母婴专营店,https://item.jd.com/12155232005.html,//mall.jd.com/index-656547.html,1059.00,,12155232005
耐克Nike男鞋夏季新款AF1空军一号运动高帮耐磨休闲鞋板鞋 864014-600 C 864014-600 40.5,爱淘运动专营店,https://item.jd.com/12175135429.html,//aitao.jd.com,,,12175135429
Nike耐克女鞋 2016秋季新款Air max 90复古跑步鞋844886-600 DF 844886-600 38/240,清鸿叶运动专营店,https://item.jd.com/10503091340.html,//qhyyd.jd.com,598.00,,10503091340
耐克休闲鞋男鞋2017春季新款KWAZI简版椰子运动鞋844839-002-600 2017新款黑白色844839-002 42,恺琪运动专营店,https://item.jd.com/10608396747.html,//kqsport.jd.com,699.00,,10608396747
Nike/耐克 CLASSIC CORTEZ 男 阿甘休闲跑步鞋 532487-091 532487-091 43,三行之运动专营店,https://item.jd.com/1437111980.html,//mall.jd.com/index-34043.html,349.00,,1437111980
耐克Nike女鞋新款运动一脚蹬懒人休闲鞋板鞋724769-607 白色724769-106 36,君悦运动专营店,https://item.jd.com/11460642428.html,//junyueyd.jd.com,270.48,,11460642428
耐克Nike2017新款男鞋跑步鞋运动鞋跑步819300-013 819300-013隐形黑+荧光黄+煤黑+白 41,SKOMART运动旗舰店,https://item.jd.com/11479986084.html,//mxkadidas.jd.com,379.00,,11479986084
NIKE耐克男鞋跑鞋17夏男子 AIR ZOOM气垫运动跑步鞋 852437 852437-402/17夏季新款 44.5,锐速运动专营店,https://item.jd.com/11273285777.html,//kryd.jd.com,699.00,,11273285777
耐克女鞋Nike2016秋AIR MAX运动鞋气垫耐磨跑步鞋 806772-001 806772-016 37.5,皓洋潮汇运动专营店,https://item.jd.com/10573943447.html,//haoyang.jd.com,1142.00,,10573943447
全球购耐克（Nike）Roshe One 男女定制款星空泼墨跑步鞋情侣款运动休闲鞋 星空泼墨/黑色金勾 40/男女款,,https://item.jd.com/1983565130.html,,.00,,1983565130
NIKE耐克 2017新款女鞋ROSHERUN休闲鞋运动鞋运动休闲844931 白色844931-100 36.5,沈斯克运动专营店,https://item.jd.com/11083953457.html,//shensike.jd.com,454.00,,11083953457
Nike耐克男鞋2017春季新款运动鞋轻便透气舒适复古休闲鞋882018-001 882018-002 40,考利运动专营店,https://item.jd.com/11573491693.html,//mall.jd.com/index-38630.html,469.00,,11573491693
耐克女鞋 2017春夏新款AIR MAX全掌气垫跑步鞋运动休闲慢跑鞋806772-006 849560-001 37.5,海客体育运动专营店,https://item.jd.com/11944634837.html,//haikeyd.jd.com,1298.00,,11944634837
全球购耐克（Nike）男士 Metcon 3 时尚休闲运动鞋专柜 标准42.5/US9,,https://item.jd.com/1983623696.html,,1568.00,,1983623696
【正品包邮】Nike耐克ROSHE ONE运动跑步鞋男女椰子鞋844994-001 38(240),,https://item.jd.com/1974862189.html,,629.00,,1974862189
NIKE耐克男鞋2017春夏新款FREE赤足慢跑鞋运动休闲鞋880839-001 2017新款880839-001 39-6.5,热点运动户外专营店,https://item.jd.com/11620678342.html,//converserd.jd.com,646.00,,11620678342
Nike耐克 17夏季 女子 Zoom All Out气垫运动休闲跑步鞋 878671 878671-101 39,杰之行运动专营店,https://item.jd.com/12049540727.html,//jzxyd.jd.com,,,12049540727
耐克Nike Air Presto GPX  复刻休闲 sock dart  袜子跑步鞋 黑红848187-006 40-US7适合39至40,bebe8运动专营店,https://item.jd.com/10524202164.html,//bebe8.jd.com,599.00,,10524202164
NIKE耐克 女鞋跑步鞋低帮运动鞋跑步819303-001 819303-017黑+薄荷绿+白+深灰 38.5,SKOMART运动旗舰店,https://item.jd.com/11807764454.html,//mxkadidas.jd.com,379.00,,11807764454
NIKE耐克女鞋2017新款AIR MAX运动低帮透气休闲鞋833989-001 煤黑荧光黄833989-002 37.5-5Y,热点运动户外专营店,https://item.jd.com/11878182552.html,//converserd.jd.com,379.00,,11878182552
耐克Nike男子跑步鞋Nike Air Zoom Structure 19 跑步鞋 806580-401 蓝/白 US9.5码43码,Nike耐克京东自营专区,https://item.jd.com/3702779.html,//mall.jd.com/index-1000001927.html,998.00,JD自营,3702779
耐克男鞋夏季新款ULTRA BR运动透气网面休闲鞋复刻鞋慢跑鞋833128-800 黑色833128-001 40,恺琪运动专营店,https://item.jd.com/10385959184.html,//kqsport.jd.com,,,10385959184
耐克 NIKE 男鞋运动鞋  ROSHE TIEMPO 男子休闲慢跑鞋 853535-117 白色 44码/10,Nike耐克京东自营专区,https://item.jd.com/4086233.html,//mall.jd.com/index-1000001927.html,599.00,JD自营,4086233
NIKE耐克男鞋秋冬休闲鞋板鞋802611-602   T X 802611-602 40.5/255/7.5,锦顺运动专营店,https://item.jd.com/11294745170.html,//xinrui.jd.com,614.00,,11294745170
耐克男鞋nike Air Max 2017新款气垫跑步鞋运动休闲慢跑鞋833260-010 876066-002 40,海客体育运动专营店,https://item.jd.com/10513917454.html,//haikeyd.jd.com,699.00,,10513917454
Nike耐克女鞋2017Air Max Tavas气垫休闲跑步鞋 599409 CS 599409-610 40.5,沈斯克运动专营店,https://item.jd.com/11265218523.html,//shensike.jd.com,454.00,,11265218523
NIKE耐克2017年春款男鞋休闲鞋低帮ROSHE运动鞋跑步鞋耐克官方旗舰店-乐 705149-407钴蓝-黑-白/2017年新款 9/42.5,晨墨运动专营店,https://item.jd.com/10343041546.html,//chenmo.jd.com,559.00,,10343041546
NIKE耐克男鞋2017春夏新款FREE赤足慢跑鞋运动透气休闲鞋880839-001 DF 880839-401 44,风驰运动专营店,https://item.jd.com/11919443839.html,//fengchiyundong.jd.com,679.00,,11919443839
耐克女鞋夏季新款KAISHI 2.0休闲鞋复刻鞋833666-010-051-501 黑色833666-010 37.5-6.5,热点体育旗舰店,https://item.jd.com/10260753908.html,//redian.jd.com,376.00,,10260753908
耐克女鞋 2017春新款AIR MAX 8气垫运动鞋透气休闲跑步鞋805942 DF 805942-001 37.5,风驰运动专营店,https://item.jd.com/10890015638.html,//fengchiyundong.jd.com,749.00,,10890015638
耐克NIKE 女子跑步鞋 FLYKNIT LUNAREPIC 运动鞋 818677-007黑色38码,Nike耐克京东自营专区,https://item.jd.com/4104157.html,//mall.jd.com/index-1000001927.html,1398.00,JD自营,4104157
耐克男鞋女鞋 17春夏ROSHETWO缓震轻便运动情侣休闲跑步鞋844656-003 DF 844931-002/女款 女鞋38,江苏叶子运动专营店,https://item.jd.com/10069223635.html,//xyyzjs.jd.com,489.00,,10069223635
NIKE耐克男鞋2017春季新款综合训练耐磨轻便运动跑步鞋831561-001 2017新款831561-001 43,恺琪运动专营店,https://item.jd.com/11265525986.html,//kqsport.jd.com,679.00,,11265525986
Nike耐克女鞋运动鞋AIR ZOOM气垫减震休闲跑步鞋818100-001 831356-007/2017新款 36.5(23cm),酷买运动专营店,https://item.jd.com/11348759899.html,//cooli.jd.com,629.00,,11348759899
耐克男鞋2017春季款AIR MAX全掌气垫缓震运动鞋休闲跑步鞋806771-001 DF 849559-402/17新款 42/265,清鸿叶运动专营店,https://item.jd.com/10614873894.html,//qhyyd.jd.com,1098.00,,10614873894
耐克 男鞋Air Huarache Ultra华莱士跑步休闲鞋819685-002  DF 819685-002/17夏新款 40,天马运动专营店,https://item.jd.com/12217797407.html,//xyyzsg.jd.com,698.00,,12217797407
